Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331859797,16006878,185264,299335,2616,9314487,86954,6393056,27218,48234,902,214787953,647225,Americas
India,Asia,1385975035,9796992,34666,142222,487,9290188,45683,364582,8944,7069,103,150759726,108775,South-EastAsia
Brazil,South America,213225942,6781799,51681,179765,733,5931777,30266,670257,8318,31806,843,25700000,120529,Americas
Russia,Europe,145962223,2569126,27927,45280,562,2033669,25877,490177,2300,17601,310,81021364,555084,Europe
France,Europe,65337492,2337966,13750,56940,292,174658,1411,2106368,2959,35783,871,28282874,432874,Europe
UK,Europe,68043572,1787783,20964,63082,516,,,,1243,26274,927,46730999,686781,Europe
Italy,Europe,60422323,1787147,16999,62626,887,1027994,30099,696527,3291,29578,1036,23676174,391845,Europe
Turkey,Asia,84738106,1748567,30424,15751,220,1154333,12134,578483,5943,20635,186,20500579,241929,Europe
Spain,Europe,46762812,1734386,4595,47344,325,,,,2158,37089,1012,24101272,515394,Europe
Argentina,South America,45378388,1482216,6994,40431,209,1318187,6699,123598,3665,32663,891,4173392,91969,Americas
Colombia,South America,51121380,1399911,7778,38484,176,1296420,8823,65007,2376,27384,753,6915466,135275,Americas
Germany,Europe,83902518,1270432,28179,21233,529,922100,20000,327099,4339,15142,253,30494036,363446,Europe
Mexico,North America,129528514,1205229,11974,111655,781,889168,8118,204406,3515,9305,862,3086510,23829,Americas
Poland,Europe,37828199,1102096,13749,21630,470,792119,23878,288347,1775,29134,572,6586361,174112,Europe
Iran,Asia,84464781,1083023,10403,51496,284,778167,12528,253360,5768,12822,610,6568472,77766,EasternMediterranean
Peru,South America,33173225,977312,,36455,,912501,,28356,1016,29461,1099,5204299,156883,Americas
Ukraine,Europe,43616596,858714,13371,14470,266,465021,13903,379223,177,19688,332,4838979,110944,Europe
South Africa,Africa,59636931,836764,8166,22747,173,756671,2013,57346,546,14031,381,5735470,96173,Africa
Indonesia,Asia,274795584,598933,6033,18336,165,491975,4530,88622,,2180,67,6200252,22563,South-EastAsia
Belgium,Europe,11611926,597643,3071,17603,96,40541,283,539499,662,51468,1516,6191181,533174,Europe
Netherlands,Europe,17151667,585685,8720,9902,61,,,,491,34147,577,5077285,296023,Europe
Iraq,Asia,40615033,571253,1380,12526,25,501967,2121,56760,218,14065,308,3803674,93652,EasternMediterranean
Chile,South America,19188492,566440,1662,15774,84,540288,1117,10378,671,29520,822,5659403,294937,Americas
Czechia,Europe,10717784,563333,6402,9226,38,493946,158,60161,550,52561,861,3269653,305068,Europe
Romania,Europe,19180434,539107,7067,12948,127,434679,8863,91480,1288,28107,675,4356567,227136,Europe
Bangladesh,Asia,165411340,485965,1861,6967,37,410452,4486,68546,,2938,42,2927929,17701,South-EastAsia
Philippines,Asia,110220891,445540,1383,8701,24,409058,133,27781,1401,4042,79,6122123,55544,WesternPacific
Canada,North America,37887917,441346,6016,13081,98,355235,5224,73030,530,11649,345,12226406,322699,Americas
Pakistan,Asia,222763138,429280,3138,8603,56,374301,2030,46376,2575,1927,39,5906146,26513,EasternMediterranean
Morocco,Africa,37102736,391529,3345,6492,65,345934,4249,39103,965,10553,175,4141842,111632,EasternMediterranean
Switzerland,Europe,8682537,368695,5041,5824,114,288400,5400,74471,449,42464,671,2985976,343906,Europe
Saudi Arabia,Asia,35051213,359415,141,6012,10,349872,248,3531,537,10254,172,10032199,286215,EasternMediterranean
Israel,Asia,9197590,352397,2126,2961,27,333391,1302,16045,316,38314,322,5605071,609406,Europe
Portugal,Europe,10183483,335207,3134,5278,86,259548,4848,70381,509,32917,518,4805677,471909,Europe
